id,source,name,keyword,match_type,category_id,category_name,priority,is_enabled,stop_processing,confidence,conditions_json,actions_json
1,manual,,COSTCOGAS,contains_case_insensitive,1,Auto & Transportation,20,1,0,,"{""description"":{""operator"":""contains"",""value"":""COSTCOGAS"",""case_sensitive"":false}}","{""set_category_id"":1}"
2,manual,,DONELLY FORD,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""DONELLY FORD"",""case_sensitive"":false}}","{""set_category_id"":1}"
3,manual,,LANDROVERJAGUARVOLVO,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""LANDROVERJAGUARVOLVO"",""case_sensitive"":false}}","{""set_category_id"":1}"
4,manual,,PMCTIRE,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""PMCTIRE"",""case_sensitive"":false}}","{""set_category_id"":1}"
5,manual,,WHEELDEAL,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""WHEELDEAL"",""case_sensitive"":false}}","{""set_category_id"":1}"
6,manual,,CDN TIRE,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""CDN TIRE"",""case_sensitive"":false}}","{""set_category_id"":1}"
7,manual,,CANADIAN TIRE,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""CANADIAN TIRE"",""case_sensitive"":false}}","{""set_category_id"":1}"
8,manual,,PETROCAN,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""PETROCAN"",""case_sensitive"":false}}","{""set_category_id"":1}"
9,manual,,PETRO-CANADA,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""PETRO-CANADA"",""case_sensitive"":false}}","{""set_category_id"":1}"
10,manual,,ESSO,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""ESSO"",""case_sensitive"":false}}","{""set_category_id"":1}"
11,manual,,SHELL,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""SHELL"",""case_sensitive"":false}}","{""set_category_id"":1}"
12,manual,,IMPARK,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""IMPARK"",""case_sensitive"":false}}","{""set_category_id"":1}"
13,manual,,GAS,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""GAS"",""case_sensitive"":false}}","{""set_category_id"":1}"
14,manual,,PARKING,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""PARKING"",""case_sensitive"":false}}","{""set_category_id"":1}"
15,manual,,TRANSIT,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""TRANSIT"",""case_sensitive"":false}}","{""set_category_id"":1}"
16,manual,,UBER,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""UBER"",""case_sensitive"":false}}","{""set_category_id"":1}"
17,manual,,LYFT,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""LYFT"",""case_sensitive"":false}}","{""set_category_id"":1}"
18,manual,,VIA RAIL,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""VIA RAIL"",""case_sensitive"":false}}","{""set_category_id"":1}"
19,manual,,BP,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""BP"",""case_sensitive"":false}}","{""set_category_id"":1}"
20,manual,,CHEVRON,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""CHEVRON"",""case_sensitive"":false}}","{""set_category_id"":1}"
21,manual,,WAWA,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""WAWA"",""case_sensitive"":false}}","{""set_category_id"":1}"
22,manual,,QT ,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""QT "",""case_sensitive"":false}}","{""set_category_id"":1}"
23,manual,,SPEEDWAY,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""SPEEDWAY"",""case_sensitive"":false}}","{""set_category_id"":1}"
24,manual,,TOLL,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""TOLL"",""case_sensitive"":false}}","{""set_category_id"":1}"
25,manual,,EZPASS,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""EZPASS"",""case_sensitive"":false}}","{""set_category_id"":1}"
26,manual,,ENTERPRISE,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""ENTERPRISE"",""case_sensitive"":false}}","{""set_category_id"":1}"
27,manual,,HERTZ,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""HERTZ"",""case_sensitive"":false}}","{""set_category_id"":1}"
28,manual,,AVIS,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AVIS"",""case_sensitive"":false}}","{""set_category_id"":1}"
29,manual,,RENTAL,contains_case_insensitive,1,Auto & Transportation,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""RENTAL"",""case_sensitive"":false}}","{""set_category_id"":1}"
30,manual,,AMZN,contains_case_insensitive,2,Amazon,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AMZN"",""case_sensitive"":false}}","{""set_category_id"":2}"
31,manual,,AMAZON,contains_case_insensitive,2,Amazon,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AMAZON"",""case_sensitive"":false}}","{""set_category_id"":2}"
32,manual,,COSTCO,contains_case_insensitive,3,Costco,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""COSTCO"",""case_sensitive"":false}}","{""set_category_id"":3}"
33,manual,,NATIONALCARRENTAL,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""NATIONALCARRENTAL"",""case_sensitive"":false}}","{""set_category_id"":4}"
34,manual,,ROUTESCARRENTAL,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""ROUTESCARRENTAL"",""case_sensitive"":false}}","{""set_category_id"":4}"
35,manual,,AIR CAN,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AIR CAN"",""case_sensitive"":false}}","{""set_category_id"":4}"
36,manual,,AIRCAN,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AIRCAN"",""case_sensitive"":false}}","{""set_category_id"":4}"
37,manual,,WESTJET,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""WESTJET"",""case_sensitive"":false}}","{""set_category_id"":4}"
38,manual,,DELTA,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""DELTA"",""case_sensitive"":false}}","{""set_category_id"":4}"
39,manual,,VACAC,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""VACAC"",""case_sensitive"":false}}","{""set_category_id"":4}"
40,manual,,AIRBNB,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""AIRBNB"",""case_sensitive"":false}}","{""set_category_id"":4}"
41,manual,,DUTYFREEMTLINT'L,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""DUTYFREEMTLINT'L"",""case_sensitive"":false}}","{""set_category_id"":4}"
42,manual,,HOTEL,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""HOTEL"",""case_sensitive"":false}}","{""set_category_id"":4}"
43,manual,,MOTEL,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""MOTEL"",""case_sensitive"":false}}","{""set_category_id"":4}"
44,manual,,INN,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""INN"",""case_sensitive"":false}}","{""set_category_id"":4}"
45,manual,,RESORT,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""RESORT"",""case_sensitive"":false}}","{""set_category_id"":4}"
46,manual,,BKG*HOTEL,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""BKG*HOTEL"",""case_sensitive"":false}}","{""set_category_id"":4}"
47,manual,,BOOKING.COM,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""BOOKING.COM"",""case_sensitive"":false}}","{""set_category_id"":4}"
48,manual,,EXPEDIA,contains_case_insensitive,4,Travel,10,1,0,,"{""description"":{""operator"":""contains"",""value"":""EXPEDIA"",""case_sensitive"":false}}","{""set_category_id"":4}"
