id,date,account_name,description,amount,before_category,after_category,before_category_source,after_category_source,before_tags,after_tags,before_merchant,after_merchant,before_income_override,after_income_override,before_exclude,after_exclude,change_type,winning_rule_id,winning_rule_name,winning_rule_tier
450dcb71-87b1-40aa-ae0a-b3cd005d5fbb,2019-01-24,BMO CAD Credit Card,AIRCAN*00142106835407 AIRCANADA.COMMB,-566.32,Travel,Travel,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1647,,generated_curated
0fc7420d-5b79-4676-8bdd-f80d8eaaaaea,2019-01-28,BMO CAD Credit Card,PAYMENTRECEIVED-THANKYOU,1000,CC Payment,CC Payment,import_default,rule_manual,[],[],,,0,0,1,1,source_only,2295,,generated_curated
3c1e1fba-6570-458c-aee8-9c269dde9d41,2019-01-29,BMO CAD Credit Card,IMPARK 00110008 H 844-309-1028 ON,-13,Auto & Transportation,Auto & Transportation,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1623,,generated_curated
91a668fa-3777-47f0-9c30-1128bc40074d,2019-02-01,BMO CAD Credit Card,SHAWARMAPRINCE BARRHAVEN ON,-17.52,Dining,Dining,import_default,rule_manual,[],[],,,0,0,0,0,source_only,2148,,generated_curated
46c69358-ec31-4334-a9f7-216d4b3878ec,2019-02-01,BMO CAD Credit Card,PAYMENTRECEIVED-THANKYOU,100,CC Payment,CC Payment,import_default,rule_manual,[],[],,,0,0,1,1,source_only,2295,,generated_curated
efdc4258-b873-48b8-98d3-a87e7f72a2fb,2019-02-01,BMO CAD Credit Card,PAYMENTRECEIVED-THANKYOU,7,CC Payment,CC Payment,import_default,rule_manual,[],[],,,0,0,1,1,source_only,2295,,generated_curated
5aaac280-9399-404a-9220-0275534cd97a,2019-02-01,BMO CAD Credit Card,IMPARK 00110008 H 844-309-1028 ON,-13,Auto & Transportation,Auto & Transportation,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1623,,generated_curated
0907bc49-3ccd-41ac-ada3-33d08dfa6dc5,2019-02-02,BMO CAD Credit Card,MCDONALD'S#29084 MYMC OTTAWA ON,-2.1,Dining,Dining,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1687,,generated_curated
f76659a1-0b5a-4232-96a1-099782affd1e,2019-02-02,BMO CAD Credit Card,MCDONALD'S#29084 OTTAWA ON,-2.93,Dining,Dining,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1687,,generated_curated
a32ac937-d671-4818-bb5c-714dabad8936,2019-02-04,BMO CAD Credit Card,PAYMENTRECEIVED-THANKYOU,1000,CC Payment,CC Payment,import_default,rule_manual,[],[],,,0,0,1,1,source_only,2295,,generated_curated
6f0ffe9a-df05-4f56-9f84-ada0899a916e,2019-02-04,BMO CAD Credit Card,ROGERS*CBL 40759298203 888-764-3771 ON,-79.09,Utilities & Taxes,Utilities & Taxes,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1677,,generated_curated
567ed0bf-45f0-4c02-a2af-1253a552f97a,2019-02-05,BMO CAD Credit Card,IMPARK 00110008 H 844-309-1028 ON,-13,Auto & Transportation,Auto & Transportation,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1623,,generated_curated
d3d1edae-b322-4599-944b-6a423795c769,2019-02-06,BMO CAD Credit Card,IMPARK 00110008 H 844-309-1028 ON,-13,Auto & Transportation,Auto & Transportation,import_default,rule_manual,[],[],,,0,0,0,0,source_only,1623,,generated_curated
