id,date,account_name,description,amount,before_category,after_category,before_category_source,after_category_source,before_tags,after_tags,before_merchant,after_merchant,before_income_override,after_income_override,before_exclude,after_exclude,change_type,winning_rule_id,winning_rule_name,winning_rule_tier
fd8f2d8c-fa4d-4f7a-9d11-b96e05350c4c,2019-02-15,BMO CAD Credit Card,NATIONALCARRENTAL TORONTO ON,-238.36,Auto & Transportation,Travel,import_default,rule_manual,[],[],,,0,0,0,0,material,1644,,generated_curated
bc9c011e-e938-4b18-a5a7-38ca5d2f959b,2019-03-01,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-56.48,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1889,,generated_curated
4b40ae38-cbcf-4fce-b910-7c3afdf40aad,2019-03-10,BMO CAD Credit Card,TIMHORTONS#2190#QTH EDMONTON AB,-5.75,Auto & Transportation,Dining,import_default,rule_manual,[],[],,,0,0,0,0,material,1707,,generated_curated
7451dddd-2198-4b04-9183-0832f52ed604,2019-04-02,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-14.68,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1889,,generated_curated
4b8bc706-508b-496b-9c6d-fa5350a10a7c,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-45.2,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1889,,generated_curated
3bade77c-fbcc-45e6-a428-26eb517d996c,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,-22.59,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1889,,generated_curated
ff674cfa-3455-466d-a604-6bde0a8875da,2019-04-09,BMO CAD Credit Card,WINNERSHOMESENSE 37808 OTTAWA ON,27.12,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1889,,generated_curated
4ed34995-9f5b-420e-bd1b-146c350084d2,2019-05-04,BMO CAD Credit Card,WINNERS 342 BARRHAVEN ON,-175.09,Travel,Shopping & Home,import_default,rule_manual,[],[],,,0,0,0,0,material,1765,,generated_curated
b151fa1a-3fe7-4404-9886-55b48516d863,2019-06-02,BMO CAD Credit Card,NATIONALCARRENTAL RICHMOND BC,-210.4,Auto & Transportation,Travel,import_default,rule_manual,[],[],,,0,0,0,0,material,1644,,generated_curated
74c36362-20c3-44d9-89fc-80d180a1b59a,2019-06-03,BMO CAD Credit Card,NATIONALCARRENTAL KAMLOOPS BC,-55.82,Auto & Transportation,Travel,import_default,rule_manual,[],[],,,0,0,0,0,material,1644,,generated_curated
